                    Name      Mass  Radius  Orbit  Smass  Distance  Habitable           Method  Year  Unnamed: 9
1         1SWASP J1407 b   6358.80   10.94   3.90   0.90    133.00          0  Primary Transit  2012         NaN
32              38 Vir b   1433.91   11.68   1.82   1.18       NaN          0  Primary Transit  2016         NaN
42              55 Cnc e      8.10    1.99   0.02   0.91     12.34          0  Primary Transit  2004         NaN
61           BD+20 594 b     16.31    2.23   0.24   0.96    152.10          0  Primary Transit  2016         NaN
86             CoRoT-1 b    327.48   16.69   0.03   0.95    460.00          0  Primary Transit  2007         NaN
87             CoRoT-2 b   1052.38   16.41   0.03   0.97    300.00          0  Primary Transit  2007         NaN
88             CoRoT-3 b   6921.55   11.31   0.06   1.41    680.00          0  Primary Transit  2008         NaN
89             CoRoT-4 b    228.92   13.33   0.09   1.10       NaN          0  Primary Transit  2008         NaN
90             CoRoT-5 b    148.48   14.90   0.05   1.00    400.00          0  Primary Transit  2008         NaN
91             CoRoT-6 b    941.10   13.06   0.09   1.05       NaN          0  Primary Transit  2009         NaN
92             CoRoT-7 b      4.74    1.52   0.02   0.93    150.00          0  Primary Transit  2009         NaN
94             CoRoT-8 b     68.62    6.37   0.06   0.88    380.00          0  Primary Transit  2010         NaN
95             CoRoT-9 b    267.07   10.53   0.40   0.99    460.00          0  Primary Transit  2010         NaN
96            CoRoT-10 b    874.34   10.86   0.09   0.89    345.00          0  Primary Transit  2010         NaN
97            CoRoT-11 b    740.80   16.02   0.04   1.27    560.00          0  Primary Transit  2010         NaN
98            CoRoT-12 b    291.55   16.13   0.04   1.08   1150.00          0  Primary Transit  2010         NaN
99            CoRoT-13 b    415.87    9.91   0.05   1.09   1310.00          0  Primary Transit  2010         NaN
100           CoRoT-14 b   2416.34   12.21   0.03   1.13   1340.00          0  Primary Transit  2010         NaN
101           CoRoT-15 b  20157.40   12.54   0.04   1.30       NaN          0  Primary Transit  2010         NaN
102           CoRoT-16 b    170.10   13.10   0.06   1.10    840.00          0  Primary Transit  2010         NaN
103           CoRoT-17 b    772.59   11.42   0.05   1.04    920.00          0  Primary Transit  2010         NaN
104           CoRoT-18 b   1103.25   14.67   0.03   0.95    870.00          0  Primary Transit  2011         NaN
105           CoRoT-19 b    352.91   14.45   0.05   1.21    800.00          0  Primary Transit  2011         NaN
106           CoRoT-20 b   1348.07    9.41   0.07   1.14   1230.00          0  Primary Transit  2011         NaN
107           CoRoT-21 b    718.54   14.56   0.04   1.29       NaN          0  Primary Transit  2011         NaN
108           CoRoT-22 b     12.20    4.88   0.09   1.10    592.00          0  Primary Transit  2011         NaN
109           CoRoT-23 b    890.23   12.10   0.05   1.14    600.00          0  Primary Transit  2011         NaN
110           CoRoT-24 b      5.72    3.70   0.06   0.91    600.00          0  Primary Transit  2011         NaN
111           CoRoT-24 c     27.98    4.93   0.10   0.91    600.00          0  Primary Transit  2011         NaN
112           CoRoT-25 b     85.84   12.10   0.06   1.09   1000.00          0  Primary Transit  2012         NaN
113           CoRoT-26 b    165.33   14.11   0.05   1.09   1670.00          0  Primary Transit  2012         NaN
114           CoRoT-27 b   3303.40   11.28   0.05   1.05       NaN          0  Primary Transit  2012         NaN
115           CoRoT-28 b    153.88   10.70   0.06   1.01    560.00          0  Primary Transit  2012         NaN
116           CoRoT-29 b    270.25   10.08   0.04   0.98    765.00          0  Primary Transit  2012         NaN
117           CoRoT-30 b    902.95   11.42   0.08   0.98    960.00          0  Primary Transit  2017         NaN
118           CoRoT-31 b    267.07   16.35   0.06   1.25   2190.00          0  Primary Transit  2017         NaN
119           CoRoT-32 b     47.69    6.38   0.07   1.09       NaN          0  Primary Transit  2017         NaN
120           CoRoT-33 b  18822.05   12.32   0.06   0.86       NaN          0  Primary Transit  2015         NaN
122            CVSO 30 b   1971.23   21.39   0.01   0.39    330.00          0  Primary Transit  2012         NaN
